new_sku,item_name,category,unit,cost,retail,qty,store_type,selected_old_sku,merged_old_skus,source_count,review_flag,conflicts
FGH-DRY-GOODS-080,GRAM FLOUR,DRY GOODS,pkt,450.0,450.0,1000.0,foodstuffs,FG-366,FG-366,1,OK,
FGH-DRY-GOODS-081,HAIRNETS,DRY GOODS,pcs,1.0,1.0,780.0,foodstuffs,FG-371,FG-371,1,OK,
FGH-DRY-GOODS-082,HAND TOWELS,DRY GOODS,pcs,162.0,162.0,914.0,foodstuffs,FG-95,FG-95,1,OK,
FGH-DRY-GOODS-083,HAND WASH,DRY GOODS,L,60.0,60.0,966.0,foodstuffs,FG-387,FG-387,1,OK,
FGH-DRY-GOODS-084,HANNAN TISSUE,DRY GOODS,pcs,35.0,35.0,1000.0,foodstuffs,FG-43,FG-43,1,OK,
FGH-DRY-GOODS-085,HARPIC,DRY GOODS,L,160.0,160.0,1000.0,foodstuffs,FG-348,FG-348,1,OK,
FGH-DRY-GOODS-086,HOHO,DRY GOODS,pcs,10.0,10.0,870.0,foodstuffs,FG-89,FG-89,1,OK,
FGH-DRY-GOODS-087,HONEY CARTON,DRY GOODS,ctn,2700.0,2700.0,1000.0,foodstuffs,FG-67,FG-67,1,OK,
FGH-DRY-GOODS-088,HONEY PIECES,DRY GOODS,pcs,150.0,150.0,935.0,foodstuffs,FG-342,FG-342,1,OK,
FGH-DRY-GOODS-089,IDP,DRY GOODS,pcs,1150.0,1120.0,996.0,foodstuffs,FG-34,FG-34,1,OK,
FGH-DRY-GOODS-090,JIK,DRY GOODS,L,100.0,100.0,997.0,foodstuffs,FG-98,FG-98,1,OK,
FGH-DRY-GOODS-091,JOGOO WIMBI,DRY GOODS,pkt,100.0,100.0,998.0,foodstuffs,FG-389,FG-389,1,OK,
FGH-DRY-GOODS-092,JUICE STRAWS,DRY GOODS,pkt,180.0,180.0,993.0,foodstuffs,FG-160,FG-160,1,OK,
FGH-DRY-GOODS-093,JUMBO TISSUE,DRY GOODS,pcs,105.0,105.0,980.0,foodstuffs,FG-94,FG-94,1,OK,
FGH-DRY-GOODS-094,KAMANDE,DRY GOODS,kg,100.0,100.0,1000.0,foodstuffs,FG-181,FG-181,1,OK,
FGH-DRY-GOODS-095,KENTASTE COCONUT OIL,DRY GOODS,pcs,0,0,0,foodstuffs,FGH-FOOD-KENTAS-0001,FGH-FOOD-KENTAS-0001 | FGB-STK-BRC-0002,2,MEDIUM,CATEGORY
FGH-DRY-GOODS-096,KETCHUP,DRY GOODS,pcs,500.0,500.0,1000.0,foodstuffs,FG-163,FG-163,1,OK,
FGH-DRY-GOODS-097,KHAKI PAPERS,DRY GOODS,pkt,290.0,290.0,975.0,foodstuffs,FG-22,FG-22,1,OK,
FGH-DRY-GOODS-098,KIENYEJI EGGS,DRY GOODS,pcs,25.0,25.0,1000.0,foodstuffs,FG-166,FG-166 | FG-108,2,MEDIUM,"COST, RETAIL, NAME ALIAS"
FGH-DRY-GOODS-099,KITCHEN CLEANER,DRY GOODS,pcs,240.0,240.0,998.0,foodstuffs,FG-137,FG-137,1,OK,
FGH-DRY-GOODS-100,KITCHEN ROLL,DRY GOODS,pcs,0,0,962.0,foodstuffs,FG-404,FG-404,1,OK,
FGH-DRY-GOODS-101,KUKU KIENYEJI,DRY GOODS,pcs,800.0,800.0,1000.0,foodstuffs,FG-37,FG-37,1,OK,
FGH-DRY-GOODS-102,LEEKS,DRY GOODS,kg,30.0,30.0,1000.0,foodstuffs,FG-171,FG-171,1,OK,
FGH-DRY-GOODS-103,LEMON SQUEEZER,DRY GOODS,pcs,500.0,500.0,1000.0,foodstuffs,FG-175,FG-175,1,OK,
FGH-DRY-GOODS-104,LEMONS,DRY GOODS,kg,80.0,80.0,881.0,foodstuffs,FG-87,FG-87,1,OK,
FGH-DRY-GOODS-105,LETTUCE,DRY GOODS,pcs,100.0,100.0,1000.0,foodstuffs,FG-169,FG-169,1,OK,
FGH-DRY-GOODS-106,LIGHT SOY SAUCE,DRY GOODS,pcs,350.0,300.0,1000.0,foodstuffs,FG-64,FG-64 | FGB-STK-BEV-0012,2,MEDIUM,CATEGORY
FGH-DRY-GOODS-107,MACARONI,DRY GOODS,pkt,350.0,350.0,1000.0,foodstuffs,FG-183,FG-183,1,OK,
FGH-DRY-GOODS-108,MANAGU,DRY GOODS,kg,100.0,100.0,1000.0,foodstuffs,FG-104,FG-104,1,OK,
FGH-DRY-GOODS-109,MANGOES,DRY GOODS,pcs,40.0,40.0,815.0,foodstuffs,FG-35,FG-35,1,OK,
FGH-DRY-GOODS-110,MARA MOJA,DRY GOODS,pcs,100.0,100.0,999.0,foodstuffs,FG-367,FG-367,1,OK,
FGH-DRY-GOODS-111,MARKER PENS,DRY GOODS,pcs,30.0,30.0,1000.0,foodstuffs,FG-357,FG-357,1,OK,
FGH-DRY-GOODS-112,MASTER MAIZE MEAL,DRY GOODS,pkt,150.0,150.0,1000.0,foodstuffs,FG-400,FG-400,1,OK,
FGH-DRY-GOODS-113,MATCHBOX,DRY GOODS,pcs,26.0,26.0,988.0,foodstuffs,FG-99,FG-99,1,OK,
FGH-DRY-GOODS-114,MATOKE,DRY GOODS,kg,300.0,300.0,1000.0,foodstuffs,FG-165,FG-165,1,OK,
FGH-DRY-GOODS-115,MAYONNAISE,DRY GOODS,pcs,620.0,620.0,1000.0,foodstuffs,FG-416,FG-416,1,OK,
